Data,Histórico,Valor,Tipo
2021-01-05,Honorários serv. prestados pela Campos 12/2020.,1572.0,CONTA ORDINÁRIA
2021-01-05,Emissão de boletos 12/2020.,62.4,CONTA ORDINÁRIA
2021-01-06,Tarifa Conta Certa 01/2021 ( Itaú ).,80.68,CONTA ORDINÁRIA
2021-01-06,Tarifa Conta Certa Exced 01/2021 ( Itaú ).,30.54,CONTA ORDINÁRIA
2021-01-08,Remuneração Sindico 12/2020.,1108.38,CONTA ORDINÁRIA
2021-01-08,Contribuição Sindical 12/2020.,185.0,CONTA ORDINÁRIA
2021-01-08,Kamel NF.3552 materiais para manutenção do condominio.,998.9,MANUTENÇÃO E LIMPEZA
2021-01-10,Hidrotec NF.5604 leitura da água 12/2020.,553.5,CONTA ORDINÁRIA
2021-01-10,Mundial NF.1605 serv. prestados 12/2020.,35222.02,CONTA ORDINÁRIA
2021-01-10,7_Lift NF.508 parc.3/5 elev. social bloco B reparo no motor operador de porta.,320.0,MANUTENÇÃO E LIMPEZA
2021-01-10,Adailson serv. prestados 01/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-01-11,Dra.Luciana assessoria juridica ref. 12/2020.,1104.0,CONTA ORDINÁRIA
2021-01-11,ISS da NF.1605 serv. prestados Mundial 12/2020.,801.86,CONTA ORDINÁRIA
2021-01-12,Dra.Luciana honorários advocatícios pago pelo apto. 153 Bloco Aristhea.,231.54,CONTA ORDINÁRIA
2021-01-12,Katia NF.797 placa de sinalização em pvc.,200.0,MANUTENÇÃO E LIMPEZA
2021-01-12,M&M NF.35207 manut. elevadores 12/2020.,1202.32,MANUTENÇÃO E LIMPEZA
2021-01-12,Mercado Pago 03 molas automáticas.,592.8,MANUTENÇÃO E LIMPEZA
2021-01-14,Império NF.6683 parc.2/2 placa em vidro.,1100.0,MANUTENÇÃO E LIMPEZA
2021-01-15,Net conta 12/2020.,151.47,TARIFAS PÚBLICAS
2021-01-15,"M&M NFs. 34422 / 9304 parc. 10/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.33,MANUTENÇÃO E LIMPEZA
2021-01-15,7_Lift NF.518 parc.3/4 instalação fechador dorma elevador serv. bloco B 10° e 15° andar.,295.0,MANUTENÇÃO E LIMPEZA
2021-01-15,CBE NF.148181 manut. bombas 12/2020.,347.73,MANUTENÇÃO E LIMPEZA
2021-01-18,Sinvaldo NF.239 colocação rufo telhado salão festas.,800.0,MANUTENÇÃO E LIMPEZA
2021-01-19,M&M NF.505 parc.4/5 serviço troca óleo elevadores.,380.02,MANUTENÇÃO E LIMPEZA
2021-01-20,Dra.Luciana honorários advocatícios pago pelo apto. 101 Bloco Aristheia.,54.42,CONTA ORDINÁRIA
2021-01-20,Encadernação e cópias 12/2020.,100.75,CONTA ORDINÁRIA
2021-01-20,INSS da NF.1605 serv. prestados Mundial 12/2020.,2205.13,CONTA ORDINÁRIA
2021-01-20,Cofins/Pis/Csll da NF.1605 serv. prestados Mundial 12/2020.,1864.34,CONTA ORDINÁRIA
2021-01-20,Cofins/Pis/Csll da NF.148181 serv. prestados 12/2020.,17.02,MANUTENÇÃO E LIMPEZA
2021-01-22,"Sinvaldo NFs. 240 / 241 / 242 limpeza e troca cano G1, pintura demarcação, fechamento de buracos no G1 e G2 e Casa Textura CF.125 grafiato.",2385.0,MANUTENÇÃO E LIMPEZA
2021-01-25,Sabesp conta 12/2020.,6839.06,TARIFAS PÚBLICAS
2021-01-25,Condominium NF.49780 manutenção 12/2020.,736.08,MANUTENÇÃO E LIMPEZA
2021-01-27,"Sinvaldo NF.233 parc.3/3 colocação pilares concreto, grafiato e telhas.",2000.0,MANUTENÇÃO E LIMPEZA
2021-01-28,Mercado Pago fita branca / etiquetador impressora.,131.88,CONTA ORDINÁRIA
2021-01-28,Enel administração conta 01/2021.,3287.3,TARIFAS PÚBLICAS
2021-01-28,Enel conta zelador 01/2021.,45.29,TARIFAS PÚBLICAS
2021-01-31,Tarifa Custa de Cobrança 01/2021.,321.3,CONTA ORDINÁRIA
2021-01-31,Imposto de Renda 01/2021 ( C/P 88851-9 ),20.76,FUNDO DE RESERVA
2021-01-31,Imposto de Renda 01/2021 ( C/P 88853-5 ),40.38,ALUGUEL COBERTURA
2021-02-01,Green Magic NF.2227 parc.4/4 grama sintética.,4189.78,MANUTENÇÃO E LIMPEZA
2021-02-02,Tarifa Conta Certa 02/2021.,80.68,CONTA ORDINÁRIA
